Process,Total project,Project using latest,Total Dockerfile,Dockerfile using latest,Number of changes pinned to latest,Number of changes latest to pinned,File not found or error,Repo not found
677,126,38,233,47,0,1,0,63
657,122,34,236,62,2,3,0,57
660,145,49,193,55,1,1,0,51
686,145,44,441,191,0,3,0,55
679,141,42,220,53,2,0,0,55
689,122,30,185,34,2,1,0,68
706,136,42,187,58,1,3,0,70
681,114,33,197,67,1,0,0,87
685,122,39,150,45,0,3,0,61
721,113,30,133,32,0,0,0,75
605,144,33,318,46,0,1,0,47
690,126,44,151,53,0,0,0,63
675,122,40,178,65,1,5,0,61
732,95,34,184,41,2,0,0,118
699,149,40,188,42,0,2,0,65
712,122,31,144,40,1,3,0,54
705,162,54,241,60,2,1,0,55
701,157,39,347,46,2,3,0,58
719,110,27,217,35,1,2,0,90
716,139,38,231,61,0,2,0,65
702,156,46,185,47,3,2,0,84
731,111,30,219,45,0,2,0,125
704,146,49,220,53,1,3,0,65
714,141,41,240,82,2,1,0,59
687,129,37,177,51,1,2,0,57
727,80,27,99,44,0,1,0,121
718,134,30,165,30,1,5,0,84
729,108,26,146,35,1,1,0,117
707,140,40,216,60,0,1,0,86
710,141,54,258,92,0,1,0,65
724,128,40,267,86,0,1,0,71
735,129,30,211,30,1,2,0,47
711,136,44,274,64,0,1,0,74
715,135,44,148,46,0,0,0,67
703,145,43,197,45,1,0,0,57
756,138,49,219,64,1,2,0,41
747,133,33,166,38,1,2,0,49
776,131,30,175,34,2,1,0,48
751,158,31,318,53,0,3,0,45
738,140,48,240,61,1,1,0,41
741,111,35,131,42,0,0,0,60
720,143,40,186,47,1,2,0,58
753,133,42,146,45,1,3,0,44
725,125,28,146,34,0,4,0,94
728,98,32,192,45,1,1,0,109
723,121,36,275,97,0,4,0,90
755,148,38,219,74,0,1,0,46
812,77,21,87,22,0,2,0,169
737,128,40,143,43,1,0,0,48
739,133,33,265,100,1,2,0,66
758,140,45,182,58,0,0,0,43
811,99,28,109,28,1,2,0,135
762,132,40,239,62,0,2,0,50
717,107,40,227,80,0,2,0,78
766,129,37,179,64,0,2,0,57
726,98,24,122,26,1,1,0,90
693,185,50,264,58,2,5,0,63
730,107,36,199,76,2,1,0,112
742,133,38,177,52,0,2,0,50
828,99,30,114,35,0,1,0,79
808,127,33,147,33,0,0,0,45
786,125,37,156,40,1,2,0,43
832,140,35,156,44,1,5,0,61
809,119,38,184,40,0,1,0,84
749,134,40,205,56,1,1,0,49
740,122,44,200,83,2,2,1,60
816,134,35,143,35,1,3,0,57
748,141,35,177,35,0,0,0,46
844,115,27,146,29,1,1,0,141
796,149,50,172,55,2,2,0,31
825,119,34,122,35,0,2,0,96
835,95,25,111,28,0,0,0,108
734,112,28,181,35,1,1,0,82
788,140,43,182,47,0,1,0,56
787,156,33,244,39,0,1,2,45
746,134,39,210,43,1,3,0,58
607,117,36,151,52,0,0,0,55
840,102,21,110,21,0,1,0,92
824,131,39,144,42,2,1,0,60
